passenger_id,flight_id
400000000,1001
400000001,1002
400000002,1003
400000003,1004
400000004,1005
400000005,1006
400000006,1007
400000007,1008
400000008,1009
400000009,1010
400000010,1011
400000011,1001
400000012,1002
400000013,1003
400000014,1004
400000015,1005
400000016,1006
400000017,1007
400000018,1008
400000019,1009
400000020,1010
400000021,1011
400000022,1001
400000023,1002
400000024,1003
400000025,1004
400000026,1005
400000027,1006
400000028,1007
400000029,1008
400000030,1009
400000031,1010
400000032,1011
400000033,1001
400000034,1002
400000035,1003
400000036,1004
400000037,1005
400000038,1006
400000039,1007
400000040,1008
400000041,1009
400000042,1010
400000043,1011
400000044,1001
400000045,1002
400000046,1003
400000047,1004
400000048,1005
400000049,1006
400000050,1007
400000051,1008
400000052,1009
400000053,1010
400000054,1011
400000055,1001
400000056,1002
400000057,1003
400000058,1004
400000059,1005
400000060,1006
400000061,1007
400000062,1008
400000063,1009
400000064,1010
400000065,1011
400000066,1001
400000067,1002
400000068,1003
400000069,1004
400000070,1005
400000071,1006
400000072,1007
400000073,1008
400000074,1009
400000075,1010
400000076,1011
400000077,1001
400000078,1002
400000079,1003
400000080,1004
400000081,1005
400000082,1006
400000083,1007
400000084,1008
400000085,1009
400000086,1010
400000087,1011
400000088,1001
400000089,1002
400000090,1003
400000091,1004
400000092,1005
400000093,1006
400000094,1007
400000095,1008
400000096,1009
400000097,1010
400000098,1011
400000099,1001
400000100,1002
400000101,1003
400000102,1004
400000103,1005
400000104,1006
400000105,1007
400000106,1008
400000107,1009
400000108,1010
400000109,1011
400000110,1001
400000111,1002
400000112,1003
400000113,1004
400000114,1005
400000115,1006
400000116,1007
400000117,1008
400000118,1009
400000119,1010
400000120,1011
400000121,1001
400000122,1002
400000123,1003
400000124,1004
400000125,1005
400000126,1006
400000127,1007
400000128,1008
400000129,1009
400000130,1010
400000131,1011
400000132,1001
400000133,1002
400000134,1003
400000135,1004
400000136,1005
400000137,1006
400000138,1007
400000139,1008
400000140,1009
400000141,1010
400000142,1011
400000143,1001
400000144,1002
400000145,1003
400000146,1004
400000147,1005
400000148,1006
400000149,1007
400000150,1008
400000151,1009
400000152,1010
400000153,1011
400000154,1001
400000155,1002
400000156,1003
400000157,1004
400000158,1005
400000159,1006
400000160,1007
400000161,1008
400000162,1009
400000163,1010
